bookId,chapters,units,passed,failed,passRate,check_pct_narrative.decision_point,check_pct_narrative.named_protagonist,check_pct_narrative.specific_scene,check_pct_pedagogy.card_tests_retrieval,check_pct_pedagogy.quiz_tests_application,check_pct_register.no_banned_phrase,check_pct_register.no_chapter_number_literal,check_pct_register.no_meta_reference,check_pct_schema.answer_position_balance,check_pct_schema.bloom_vocabulary,check_pct_schema.enum_validity
the-33-strategies-of-war,33,826,435,391,52.7,11.1,100.0,8.1,95.8,18.5,95.8,95.2,55.3,97.0,33.3,36.7
the-psychology-of-money,22,566,304,262,53.7,21.2,100.0,15.2,93.6,0.9,98.4,92.5,41.1,27.3,100.0,61.8
mistakes-were-made-but-not-by-me,9,225,121,104,53.8,11.1,98.1,14.8,100.0,20.0,99.1,100.0,70.2,100.0,20.0,0.0
the-gift-of-fear,15,385,210,175,54.5,7.8,98.9,14.4,93.3,20.7,97.6,100.0,42.5,33.3,100.0,0.0
the-charisma-myth,13,325,180,145,55.4,29.5,100.0,20.5,80.0,17.7,96.3,86.2,41.3,100.0,100.0,80.0
the-checklist-manifesto,9,232,129,103,55.6,18.5,100.0,11.1,91.1,14.4,98.2,78.7,43.9,22.2,100.0,76.7
clear-thinking,26,646,362,284,56.0,26.3,100.0,5.1,90.0,18.1,98.3,95.9,43.5,38.5,100.0,0.0
the-one-thing,18,455,257,198,56.5,25.0,100.0,12.0,100.0,17.2,96.0,56.9,73.7,72.2,35.0,0.0
built-to-last,10,256,145,111,56.6,36.7,100.0,48.3,96.0,18.0,97.2,95.2,44.7,40.0,100.0,62.0
leaders-eat-last,27,693,395,298,57.0,29.0,85.2,37.7,91.9,8.1,97.6,63.9,52.8,33.3,92.2,0.0
deep-work,9,234,134,100,57.3,83.3,100.0,0.0,100.0,0.0,100.0,87.6,46.8,0.0,100.0,71.1
thinking-in-bets,7,177,103,74,58.2,50.0,92.9,28.6,100.0,21.4,99.4,97.1,48.1,71.4,100.0,0.0
seven-powers,9,230,135,95,58.7,24.1,100.0,22.2,100.0,28.9,96.4,100.0,47.4,44.4,100.0,0.0
playing-to-win,8,206,121,85,58.7,0.0,100.0,31.3,85.0,18.8,98.5,99.5,48.0,25.0,100.0,92.5
zero-to-one,14,355,209,146,58.9,28.6,100.0,8.3,80.0,12.1,93.7,75.7,47.0,64.3,100.0,80.0
the-first-20-hours,9,229,135,94,59.0,25.9,100.0,22.2,95.6,14.4,96.0,62.7,47.4,55.6,100.0,0.0
super-thinking,7,181,108,73,59.7,33.3,100.0,16.7,80.0,30.0,97.1,73.7,49.6,14.3,100.0,80.0
execution,10,256,153,103,59.8,15.0,91.7,30.0,84.0,24.0,98.4,70.4,51.6,40.0,100.0,0.0
the-great-mental-models-vol-2,20,513,307,206,59.8,9.2,90.0,0.8,99.0,30.0,98.8,97.8,52.4,35.0,100.0,0.0
make-it-stick,8,207,124,83,59.9,22.9,100.0,8.3,77.5,1.3,96.5,93.5,50.0,12.5,100.0,0.0
limitless,15,385,231,154,60.0,1.1,100.0,1.1,84.0,14.7,97.1,79.7,49.5,33.3,100.0,96.0
talk-like-ted,9,230,138,92,60.0,24.1,100.0,20.4,95.6,11.1,96.9,80.0,49.1,44.4,100.0,71.1
tiny-habits,8,206,125,81,60.7,2.1,97.9,2.1,87.5,7.5,97.5,68.5,51.3,25.0,100.0,80.0
the-pyramid-principle,10,250,152,98,60.8,6.7,100.0,3.3,98.0,11.0,97.6,86.0,86.3,100.0,20.0,0.0
the-elephant-in-the-brain,16,414,252,162,60.9,7.3,99.0,19.8,88.8,15.0,99.8,78.3,55.9,12.5,100.0,0.0
so-good-they-cant-ignore-you,16,407,249,158,61.2,24.0,100.0,9.4,100.0,20.6,96.5,98.3,50.3,56.3,100.0,0.0
thinking-fast-and-slow,38,988,613,375,62.0,33.3,97.8,4.8,100.0,0.5,95.2,97.5,54.0,0.0,100.0,60.5
what-every-body-is-saying,10,259,163,96,62.9,20.0,88.3,6.7,98.0,6.0,96.4,90.0,57.9,10.0,100.0,0.0
the-righteous-mind,12,308,196,112,63.6,4.2,100.0,2.8,90.0,15.0,97.3,62.3,54.4,33.3,100.0,0.0
measure-what-matters,21,538,345,193,64.1,15.1,100.0,22.2,92.4,21.9,97.7,77.9,54.9,38.1,100.0,0.0
the-laws-of-human-nature,19,485,313,172,64.5,23.7,100.0,27.2,98.9,16.3,97.7,98.3,54.6,47.4,100.0,97.9
crucial-conversations,10,255,169,86,66.3,41.7,86.7,21.7,92.0,23.0,96.0,74.4,61.6,50.0,100.0,79.0
games-people-play,10,251,168,83,66.9,30.0,100.0,76.7,98.0,62.0,100.0,98.4,56.8,90.0,100.0,7.0
the-war-of-art,3,77,52,25,67.5,16.7,100.0,0.0,100.0,36.7,98.7,100.0,61.4,33.3,93.3,66.7
how-to-win-friends-and-influence-people,30,753,509,244,67.6,11.7,95.6,6.7,94.5,15.0,99.0,80.6,62.8,16.7,90.3,63.0
blue-ocean-strategy,11,282,197,85,69.9,18.2,100.0,21.2,85.5,21.8,96.7,82.2,62.7,36.4,100.0,85.5
the-innovators-dilemma,11,283,198,85,70.0,31.8,87.9,6.1,89.1,15.5,99.3,62.2,67.0,27.3,100.0,0.0
the-black-swan,19,475,336,139,70.7,6.3,62.5,3.1,100.0,6.8,98.2,84.9,76.2,5.3,100.0,71.6
the-great-mental-models-vol-1,12,293,208,85,71.0,27.8,100.0,19.4,95.0,16.2,94.7,100.0,63.8,33.3,100.0,0.0
atomic-habits,20,516,368,148,71.3,30.0,100.0,3.3,77.0,12.5,97.8,63.6,65.3,20.0,100.0,87.0
pre-suasion,14,363,259,104,71.3,35.7,100.0,11.9,81.4,14.3,96.9,60.6,67.7,7.1,96.4,71.4
good-to-great,9,228,167,61,73.2,24.1,100.0,42.6,100.0,24.4,95.6,99.6,66.1,66.7,100.0,80.0
difficult-conversations,12,300,220,80,73.3,18.1,100.0,41.7,100.0,59.2,99.7,99.0,74.1,100.0,100.0,41.7
the-prince,26,652,543,109,83.3,31.4,100.0,62.2,96.2,16.2,98.0,58.0,76.9,92.3,100.0,62.7
pitch-anything,11,284,241,43,84.9,34.8,100.0,15.2,98.2,17.3,97.5,100.0,85.2,18.2,97.3,60.9
the-art-of-war,13,326,285,41,87.4,35.9,100.0,60.3,100.0,84.6,99.4,87.1,83.8,92.3,100.0,0.0
